Date,Open,High,Low,Close,Volume
2025-07-23,613,613,600,600,13388
2025-07-24,606,606,593,596,846
2025-07-25,593,593,573,579,4928
2025-07-28,582,583,567,568,2642
2025-07-29,568,570,562,567,11109
2025-07-30,567,567,557,566,2762
2025-07-31,567,573,563,573,6679
2025-08-01,573,573,555,555,2811
2025-08-04,553,570,553,564,4405
2025-08-05,575,575,560,566,1191
2025-08-06,571,574,562,572,3160
2025-08-07,566,581,563,575,1740
2025-08-08,576,576,568,574,510
2025-08-11,573,573,565,565,576
2025-08-12,569,576,566,576,2033
2025-08-13,579,585,570,576,1692
2025-08-14,577,580,571,579,500
2025-08-18,579,584,572,580,758
2025-08-19,585,592,579,592,619
2025-08-20,590,595,582,589,1741
2025-08-21,595,595,579,579,601
